Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
BTC-USD,Bitcoin USD,"23,751.09",+517.70,+2.23%,458.473B,19.553B,19.553B,19.553B,19.303M,,
ETH-USD,Ethereum USD,"1,658.34",+53.83,+3.35%,202.937B,6.751B,6.751B,6.751B,122.374M,,
USDT-USD,Tether USD,1.0001,-0.0000,-0.00%,70.891B,27.474B,27.474B,27.474B,70.884B,,
BNB-USD,BNB USD,307.23,+3.58,+1.18%,48.51B,381.712M,381.712M,381.712M,157.896M,,
USDC-USD,USD Coin USD,1.0002,+0.0001,+0.01%,42.634B,2.917B,2.917B,2.917B,42.627B,,
XRP-USD,XRP USD,0.378202,+0.001355,+0.36%,19.27B,877.907M,877.907M,877.907M,50.951B,,
ADA-USD,Cardano USD,0.367981,+0.004822,+1.33%,12.755B,224.399M,224.399M,224.399M,34.662B,,
HEX-USD,HEX USD,0.067140,+0.010880,+19.34%,11.643B,26.437M,26.437M,26.437M,173.411B,,
MATIC-USD,Polygon USD,1.2775,+0.0052,+0.41%,11.158B,484.355M,484.355M,484.355M,8.734B,,
DOGE-USD,Dogecoin USD,0.081859,+0.000493,+0.61%,10.86B,241.038M,241.038M,241.038M,132.671B,,
BUSD-USD,Binance USD USD,1.0003,+0.0004,+0.04%,10.741B,5.065B,5.065B,5.065B,10.737B,,
SOL-USD,Solana USD,23.22,+0.41,+1.78%,8.787B,444.36M,444.36M,444.36M,378.394M,,
DOT-USD,Polkadot USD,6.7325,+0.1542,+2.34%,7.818B,237.183M,237.183M,237.183M,1.161B,,
SHIB-USD,Shiba Inu USD,0.000013,+0.000000,+2.39%,7.028B,223.106M,223.106M,223.106M,549.063T,,
WTRX-USD,Wrapped TRON USD,0.068139,-0.000774,-1.12%,6.928B,2.309M,2.309M,2.309M,101.676B,,
LTC-USD,Litecoin USD,95.64,+1.61,+1.71%,6.922B,406.458M,406.458M,406.458M,72.372M,,
TRX-USD,TRON USD,0.069189,+0.000090,+0.13%,6.327B,205.776M,205.776M,205.776M,91.451B,,
AVAX-USD,Avalanche USD,18.49,+0.36,+2.01%,6.004B,169.809M,169.809M,169.809M,324.742M,,
STETH-USD,Lido Staked ETH USD,"1,643.68",+37.45,+2.33%,5.733B,25.529M,25.529M,25.529M,3.488M,,
DAI-USD,Dai USD,1.0004,+0.0005,+0.05%,5.219B,118.332M,118.332M,118.332M,5.217B,,
UNI7083-USD,Uniswap USD,6.6123,+0.0824,+1.26%,5.04B,58.575M,58.575M,58.575M,762.209M,,
WBTC-USD,Wrapped Bitcoin USD,"23,730.59",+502.35,+2.16%,4.176B,183.441M,183.441M,183.441M,"175,996",,
LINK-USD,Chainlink USD,7.4096,+0.0114,+0.15%,3.764B,276.219M,276.219M,276.219M,508M,,
ATOM-USD,Cosmos USD,13.04,+0.14,+1.08%,3.735B,110.888M,110.888M,110.888M,286.37M,,
LEO-USD,UNUS SED LEO USD,3.3221,-0.0195,-0.58%,3.169B,1.837M,1.837M,1.837M,953.954M,,
